Fecha y Hora de Inicio (dd/MM/aaaa  HH:mm:ss),Fecha y Hora de Finalización (dd/MM/aaaa  HH:mm:ss),"PM10 (ug/m3)
Condición Estándar",Velocidad del Viento (m/s),Dirección del viento (Grados),Temperatura 10cm (°C),Precipitación (mm),Presión atmosférica (mm Hg),Humedad Relativa 10m (%),Radiación Solar Global (W/m2)
01/03/2022 06:00:00 PM,01/03/2022 06:59:59 PM,96.5370854,1.4897436,316.4564103,28.2692308,0,756.3711538,71.4820513,0.0538462
01/03/2022 07:00:00 PM,01/03/2022 07:59:59 PM,63.9211345,2.0923077,313.4153846,26.5897436,0,756.9230769,79.4974359,0
01/03/2022 08:00:00 PM,01/03/2022 08:59:59 PM,38.5587636,1.9684211,314.1526316,25.8552632,0,757.4309211,82.8263158,0
01/03/2022 09:00:00 PM,01/03/2022 09:59:59 PM,36.3742808,1.325641,337.8948718,25.3871795,0,757.7519231,84.5282051,0
01/03/2022 10:00:00 PM,01/03/2022 10:59:59 PM,42.6013596,0.5512821,189.6564103,24.9153846,0,757.7326923,86.0307692,0
01/03/2022 11:00:00 PM,01/03/2022 11:59:59 PM,47.6922487,0.6105263,300.2105263,24.5368421,0,757.5236842,87.1473684,0
01/04/2022 12:00:00 AM,01/04/2022 12:59:59 AM,38.4657826,0.85,326.5236842,24.1210526,0,757.0460526,87.7447368,0
01/04/2022 01:00:00 AM,01/04/2022 01:59:59 AM,40.2266699,0.525641,257.7717949,23.7333333,0,756.4211538,89.2897436,0
01/04/2022 02:00:00 AM,01/04/2022 02:59:59 AM,22.4348859,0.5641026,307.2641026,23.4717949,0,756.0365385,91.5717949,0
01/04/2022 03:00:00 AM,01/04/2022 03:59:59 AM,25.9736903,0.6,275.4763158,23.3868421,0,756.0592105,92.531579,0
01/04/2022 04:00:00 AM,01/04/2022 04:59:59 AM,19.8999871,0.8512821,310.874359,23.7128205,0,756.3634615,90.548718,0
01/04/2022 05:00:00 AM,01/04/2022 05:59:59 AM,21.3488285,0.6025641,308.5666667,23.5282051,0,756.6826923,90.1358974,0
01/04/2022 06:00:00 AM,01/04/2022 06:59:59 AM,25.5802559,0.5871795,298.8974359,22.925641,0,757.1,92.0641026,9.974359
01/04/2022 07:00:00 AM,01/04/2022 07:59:59 AM,34.1341913,0.9324324,329.5108108,24.1648649,0,757.8628378,87.4783784,44.4486487
01/04/2022 08:00:00 AM,01/04/2022 08:59:59 AM,40.703951,1.0487179,318.5897436,26.2230769,0,758.3269231,79.2666667,63.0897436
01/04/2022 09:00:00 AM,01/04/2022 09:59:59 AM,43.4103467,0.6025641,272.8205128,28.1410256,0,758.3711538,73.8615385,72.6384615
01/04/2022 10:00:00 AM,01/04/2022 10:59:59 AM,90.5775033,0.6342105,171.4894737,30.5736842,0,758.1039474,66.2657895,327.3026316
01/04/2022 11:00:00 AM,01/04/2022 11:59:59 AM,83.8391953,0.9230769,194.8461538,31.7641026,0,757.7269231,61.9205128,544.525641
01/04/2022 12:00:00 PM,01/04/2022 12:59:59 PM,86.5027384,1.3435897,203.0794872,32.0717949,0,757.0423077,62.1307692,654.5230769
01/04/2022 01:00:00 PM,01/04/2022 01:59:59 PM,68.0826694,1.0105263,217.8552632,32.7473684,0,756.3335526,59.6131579,698.6342105
01/04/2022 02:00:00 PM,01/04/2022 02:59:59 PM,81.2102848,1.3789474,209.4973684,32.1026316,0,755.6348684,59.8131579,565.5815789
01/04/2022 03:00:00 PM,01/04/2022 03:59:59 PM,58.6010286,0.9,226.2846154,31.7871795,0,755.1480769,60.4846154,174.8820513
01/04/2022 04:00:00 PM,01/04/2022 04:59:59 PM,53.8735532,1.0179487,292.3128205,30.7025641,0,754.9980769,64.2435897,74.3102564
01/04/2022 05:00:00 PM,01/04/2022 05:59:59 PM,54.7952907,1.7815789,306.4894737,28.0710526,0,755.3940789,73.681579,28.4710526
01/04/2022 06:00:00 PM,01/04/2022 06:59:59 PM,57.4696118,2.0307692,312.0230769,26.6051282,0,755.9269231,79.9538462,0.1512821
01/04/2022 07:00:00 PM,01/04/2022 07:59:59 PM,36.4904096,2.1769231,315.1487179,26.2153846,0,756.4442308,79.425641,0
01/04/2022 08:00:00 PM,01/04/2022 08:59:59 PM,29.7529237,1.9641026,320.6282051,26.0051282,0,756.9903846,78.2769231,0
01/04/2022 09:00:00 PM,01/04/2022 09:59:59 PM,28.6419126,1.7783784,319.7540541,25.527027,0,757.2202703,79.672973,0
01/04/2022 10:00:00 PM,01/04/2022 10:59:59 PM,33.081406,1.4641026,315.4923077,24.7538462,0,757.0980769,82.6717949,0
01/05/2022 12:00:00 AM,01/05/2022 12:59:59 AM,31.3995822,1.5973684,315.9526316,24.1368421,0,756.2703947,87.4236842,0
01/05/2022 01:00:00 AM,01/05/2022 01:59:59 AM,22.9001529,0.5076923,104.8076923,23.6,0,755.8038462,89.3846154,0
01/05/2022 02:00:00 AM,01/05/2022 02:59:59 AM,18.37683,0.0512821,20.9871795,22.8,0,755.2442308,92.9897436,0
01/05/2022 03:00:00 AM,01/05/2022 03:59:59 AM,17.0861457,0.0157895,0.3263158,22.3473684,0,736.9973684,93.7684211,0
01/05/2022 04:00:00 AM,01/05/2022 04:59:59 AM,22.9807922,0.05,20.381579,21.8684211,0,755.1809211,94.8657895,0
01/05/2022 05:00:00 AM,01/05/2022 05:59:59 AM,26.5917954,0.374359,181.1,21.9307692,0,755.4596154,94.2025641,0
01/05/2022 06:00:00 AM,01/05/2022 06:59:59 AM,27.3296622,0.4974359,208.2076923,21.6179487,0,755.9057692,94.474359,8.0846154
01/05/2022 07:00:00 AM,01/05/2022 07:59:59 AM,47.8166044,0.5076923,271.1538462,22.8871795,0,756.5557692,91.2384615,41.1820513
01/05/2022 08:00:00 AM,01/05/2022 08:59:59 AM,54.5916145,0.3657895,120.9263158,25.9131579,0,756.9828947,78.7552632,63.8789474
01/05/2022 09:00:00 AM,01/05/2022 09:59:59 AM,37.8664271,0.4076923,154.8666667,28.248718,0,757.0365385,71.8769231,75.3871795
01/05/2022 10:00:00 AM,01/05/2022 10:59:59 AM,62.6898522,0.7128205,191.7,30.1846154,0,756.8846154,66.5538462,335.5589744
01/05/2022 12:00:00 PM,01/05/2022 12:59:59 PM,106.7176641,1.3923077,189.4666667,31.6846154,0,755.9653846,62.0846154,762.1871795
01/05/2022 01:00:00 PM,01/05/2022 01:59:59 PM,96.4582288,1.3717949,195.6589744,32.3512821,0,755.0461538,59.7641026,694.0794872
01/05/2022 02:00:00 PM,01/05/2022 02:59:59 PM,99.6890971,0.6897436,258.1102564,33.4692308,0,754.3076923,55.7333333,466.6128205
01/05/2022 03:00:00 PM,01/05/2022 03:59:59 PM,85.7733306,1.2473684,303.2368421,32.4157895,0,753.9453947,56.7894737,174.0236842
01/05/2022 04:00:00 PM,01/05/2022 04:59:59 PM,71.2537291,1.3128205,301.8897436,30.9641026,0,754.0769231,61.048718,63.6025641
01/05/2022 05:00:00 PM,01/05/2022 05:59:59 PM,81.9221538,1.7131579,312.6526316,28.8184211,0,734.8717105,68.8052632,27.0605263
01/05/2022 06:00:00 PM,01/05/2022 06:59:59 PM,72.6138844,2.2297297,314.6236842,26.7289474,0,754.7230263,77.5473684,0.0868421
01/05/2022 07:00:00 PM,01/05/2022 07:59:59 PM,47.0548428,1.925641,315.8948718,25.6333333,0,755.3538462,81.9435897,0
01/05/2022 08:00:00 PM,01/05/2022 08:59:59 PM,32.1558206,1.9315789,313.9394737,25.1210526,0,755.8203947,83.1236842,0
01/05/2022 09:00:00 PM,01/05/2022 09:59:59 PM,37.79761,1.5717949,317.3923077,24.6205128,0,756.2326923,84.3923077,0
01/05/2022 10:00:00 PM,01/05/2022 10:59:59 PM,43.3210204,1.7871795,313.6102564,24.2564103,0,756.1634615,85.9153846,0
01/05/2022 11:00:00 PM,01/05/2022 11:59:59 PM,34.0148092,1.5789474,315.55,23.8631579,0,755.9092105,86.65,0
01/06/2022 12:00:00 AM,01/06/2022 12:59:59 AM,61.1739387,0.3078947,78.8394737,23.35,0,755.85,87.5026316,0
01/06/2022 01:00:00 AM,01/06/2022 01:59:59 AM,19.3688814,0.1897436,101.9871795,22.4461539,0,755.4923077,90.074359,0
01/06/2022 02:00:00 AM,01/06/2022 02:59:59 AM,24.5983798,0.2153846,62.9512821,21.6846154,0,755,91.5025641,0
01/06/2022 03:00:00 AM,01/06/2022 03:59:59 AM,41.1558513,0.374359,199.8410256,21.2384615,0,754.825,92.3846154,0
01/06/2022 04:00:00 AM,01/06/2022 04:59:59 AM,32.3010682,0.3342105,205.4236842,21.0078947,0,755.1197368,92.5736842,0
01/06/2022 05:00:00 AM,01/06/2022 05:59:59 AM,23.9835148,0.425641,262.6666667,20.7025641,0,755.4692308,92.5,0
01/06/2022 06:00:00 AM,01/06/2022 06:59:59 AM,25.2753825,0.4307692,258.5461538,20.4564103,0,755.8288462,91.5102564,8.5897436
01/06/2022 07:00:00 AM,01/06/2022 07:59:59 AM,42.3495693,0.3736842,165.7342105,22.3184211,0,756.4638158,90.4052632,38.9447368
01/06/2022 08:00:00 AM,01/06/2022 08:59:59 AM,58.1777154,0.3368421,125.8789474,26.2921053,0,757.0342105,76.4421053,54.2105263
01/06/2022 09:00:00 AM,01/06/2022 09:59:59 AM,50.8285284,0.6410256,221.7564103,28.5282051,0,757.3673077,68.6461539,64.5461539
01/06/2022 10:00:00 AM,01/06/2022 10:59:59 AM,80.795905,0.5717949,162.5128205,30.1179487,0,757.2596154,64.825641,297.7461538
01/06/2022 12:00:00 PM,01/06/2022 12:59:59 PM,102.2530381,1.0578947,198.1447368,31.7868421,0,756.2526316,59.6526316,731.9947368
01/06/2022 01:00:00 PM,01/06/2022 01:59:59 PM,77.7370362,1.2102564,191.274359,32.2102564,0,755.5365385,59.3051282,697.2384615
01/06/2022 02:00:00 PM,01/06/2022 02:59:59 PM,67.4925055,0.9589744,195.8358974,32.8947368,0,754.9461538,55.7769231,589.8769231
01/06/2022 03:00:00 PM,01/06/2022 03:59:59 PM,75.091381,0.6868421,249.2263158,32.5394737,0,754.6875,54.0657895,156.1157895
01/06/2022 04:00:00 PM,01/06/2022 04:59:59 PM,69.9190637,0.5605263,232.2815789,30.9631579,0,754.8236842,60.8763158,69.5131579
01/06/2022 05:00:00 PM,01/06/2022 05:59:59 PM,65.1074308,0.9461538,260.6666667,28.6842105,0,755.1730769,70.7512821,28.1564103
01/06/2022 06:00:00 PM,01/06/2022 06:59:59 PM,75.6538759,1.5,308.9076923,26.4948718,0,755.5769231,80.6692308,0.0897436
01/06/2022 07:00:00 PM,01/06/2022 07:59:59 PM,52.8185538,1.9102564,313.2179487,25.6051282,0,755.9788462,84.9051282,0
01/06/2022 08:00:00 PM,01/06/2022 08:59:59 PM,30.5138796,2.1026316,312.2236842,25.0236842,0,756.3453947,88.2710526,0
01/06/2022 09:00:00 PM,01/06/2022 09:59:59 PM,30.6222741,1.4615385,311.725641,24.3564103,0,756.6673077,91.0564103,0
01/06/2022 10:00:00 PM,01/06/2022 10:59:59 PM,31.9979101,0.5230769,189.0820513,24.0384615,0,756.5692308,91.6820513,0
01/06/2022 11:00:00 PM,01/06/2022 11:59:59 PM,34.8693623,0.0918919,19.1135135,23.4621622,0,756.3567568,93.1189189,0
01/07/2022 12:00:00 AM,01/07/2022 12:59:59 AM,23.8733187,0.1153846,43.6717949,23.0948718,0,756.2807692,93.5769231,0
01/07/2022 01:00:00 AM,01/07/2022 01:59:59 AM,24.0928784,0.4871795,195.6384615,22.5282051,0,755.9538462,93.6025641,0
01/07/2022 02:00:00 AM,01/07/2022 02:59:59 AM,16.5054284,0.1736842,76.6,22.1868421,0,755.5776316,94.0421053,0
01/07/2022 03:00:00 AM,01/07/2022 03:59:59 AM,17.4500439,0.3051282,119.8923077,21.6128205,0,755.4923077,94.6974359,0
01/07/2022 04:00:00 AM,01/07/2022 04:59:59 AM,13.0564347,0.4923077,210.6897436,21.5076923,0,755.7826923,94.8948718,0
01/07/2022 05:00:00 AM,01/07/2022 05:59:59 AM,14.5327188,0.5897436,294.4205128,21.3358974,0,756.2865385,94.9923077,0
01/07/2022 06:00:00 AM,01/07/2022 06:59:59 AM,20.0585766,0.3210526,182.5447368,21.5921053,0,757.2118421,95.7552632,11.8210526
01/07/2022 07:00:00 AM,01/07/2022 07:59:59 AM,25.3871453,0.3921053,115.2394737,23.6289474,0,758.0407895,93.1105263,55.8236842
01/07/2022 08:00:00 AM,01/07/2022 08:59:59 AM,31.9492068,0.5948718,202.2230769,25.6512821,0,758.5884615,86.0076923,64.2051282
01/07/2022 09:00:00 AM,01/07/2022 09:59:59 AM,41.9341695,0.8230769,306.2666667,27.9871795,0,758.6346154,74.974359,70.0102564
01/07/2022 10:00:00 AM,01/07/2022 10:59:59 AM,49.5049408,0.7394737,174.6342105,30.2210526,0,758.3585526,63.8105263,301.2368421
01/07/2022 11:00:00 AM,01/07/2022 11:59:59 AM,53.9635246,1.0179487,205.4871795,32.4128205,0,758.1057692,59.6538462,742.7102564
01/07/2022 01:00:00 PM,01/07/2022 01:59:59 PM,58.1956278,1.6394737,195.0789474,31.6263158,0,756.9394737,62.7447368,676.6
01/07/2022 02:00:00 PM,01/07/2022 02:59:59 PM,105.700273,1.3076923,188.3564103,31.3641026,0,756.5480769,62.5461539,539.5641026
01/07/2022 03:00:00 PM,01/07/2022 03:59:59 PM,88.2667849,1.1179487,202.8820513,30.6333333,0,756.4557692,62.8102564,159.7846154
01/07/2022 04:00:00 PM,01/07/2022 04:59:59 PM,70.4467359,0.6,231.0868421,30.4131579,0,756.5072368,63.0105263,65.1894737
01/07/2022 05:00:00 PM,01/07/2022 05:59:59 PM,66.0144109,0.7974359,294.0820513,29.1589744,0,756.7461538,64.9717949,27.0769231
